County,Civilian Labor Force,Employment,Unemployment,Year
Androscoggin Cty,55654,53922,1733,2018
Aroostook Cty,31085,29674,1411,2018
Cumberland Cty,165866,161659,4208,2018
Franklin Cty,14490,13941,550,2018
Hancock Cty,29582,28529,1054,2018
Kennebec Cty,62647,60723,1923,2018
Knox Cty,20726,20102,623,2018
Lincoln Cty,17057,16520,537,2018
Maine,701019,678780,22239,2018
Oxford Cty,26813,25808,1005,2018
Penobscot Cty,77169,74429,2740,2018
Piscataquis Cty,7493,7199,293,2018
Sagadahoc Cty,19627,19126,501,2018
Somerset Cty,22895,21853,1042,2018
United States,162075000,155761000,6313923,2018
Waldo Cty,21275,20569,707,2018
Washington Cty,13948,13298,651,2018
York Cty,114525,111234,3291,2018
Androscoggin Cty,55477,53891,1586,2019
Aroostook Cty,30410,29069,1341,2019
Cumberland Cty,165873,162061,3812,2019
Franklin Cty,14463,13931,532,2019
Hancock Cty,29300,28316,985,2019
Kennebec Cty,62410,60650,1760,2019
Knox Cty,20461,19891,570,2019
Lincoln Cty,17009,16531,479,2019
Maine,698069,677804,20265,2019
Oxford Cty,26643,25725,918,2019
Penobscot Cty,77028,74586,2442,2019
Piscataquis Cty,7312,7049,264,2019
Sagadahoc Cty,19627,19192,435,2019
Somerset Cty,22551,21586,965,2019
United States,163538692,157538077,6000615,2019
Waldo Cty,20783,20147,636,2019
Washington Cty,13746,13134,612,2019
York Cty,114693,111699,2994,2019
Androscoggin Cty,53904,51174,2731,2020
Aroostook Cty,29006,27516,1491,2020
Cumberland Cty,159617,151778,7839,2020
Franklin Cty,13633,12860,774,2020
Hancock Cty,27533,26050,1483,2020
Kennebec Cty,60935,58128,2807,2020
Knox Cty,19431,18450,980,2020
Lincoln Cty,16276,15472,804,2020
Maine,670926,636984,33942,2020
Oxford Cty,25593,24022,1572,2020
Penobscot Cty,73706,69996,3710,2020
Piscataquis Cty,7110,6750,360,2020
Sagadahoc Cty,19113,18271,842,2020
Somerset Cty,21865,20514,1351,2020
United States,160742308,147794769,12947538,2020
Waldo Cty,19846,18899,947,2020
Washington Cty,13258,12485,774,2020
York Cty,109765,104294,5471,2020
Androscoggin Cty,54355,51684,2671,2021
Aroostook Cty,29162,27497,1665,2021
Cumberland Cty,163251,156698,6553,2021
Franklin Cty,13875,13138,737,2021
Hancock Cty,28675,27249,1426,2021
Kennebec Cty,61683,59007,2676,2021
Knox Cty,20028,19147,881,2021
Lincoln Cty,16865,16121,744,2021
Maine,684933,653126,31807,2021
Oxford Cty,26389,24914,1475,2021
Penobscot Cty,75081,71498,3583,2021
Piscataquis Cty,7497,7119,378,2021
Sagadahoc Cty,19282,18561,721,2021
Somerset Cty,22434,21031,1404,2021
United States,161203923,152580692,8623231,2021
Waldo Cty,20369,19409,960,2021
Washington Cty,13505,12636,870,2021
York Cty,112715,107631,5084,2021
