Year,County,Proprietors' income,Personal income (thousands of dollars),Average earnings per job (dollars),Net earnings by place of residence,Earnings by place of work,"Dividends, interest, and rent 2",Wages and salaries,Supplements to wages and salaries
2018,Androscoggin Cty,237020,4413294,48924,2659357,3095376,575328,2301454,556902
2018,Aroostook Cty,185146,2753803,45898,1459102,1637632,377806,1129405,323081
2018,Cumberland Cty,185146,18308775,57500,11533524,14546933,4020691,10702230,2350387
2018,Franklin Cty,75611,1153899,39037,605520,614447,218084,422349,116487
2018,Hancock Cty,367268,2766675,43163,1478685,1577451,691814,968653,241530
2018,Kennebec Cty,353452,5461522,50661,3251688,3971964,880254,2845358,773154
2018,Knox Cty,252133,1982014,43687,1033646,1223179,508044,776524,194522
2018,Knox Cty,253510,1717496,37791,852746,719849,464126,452087,111885
2018,Lincoln Cty,155877,2181449,40816,1148233,1028234,364950,698926,182630
2018,Oxford Cty,146678,6307887,47961,3701198,4408176,957683,3266510,853343
2018,Penobscot Cty,288323,646450,41014,304365,327251,118298,216597,67094
2018,Piscataquis Cty,43560,1823932,52727,1022317,1160618,435491,835013,228371
2018,Sagadahoc Cty,97234,1901607,44868,980877,1025318,285606,714743,183799
2018,Somerset Cty,126776,1644345,39612,870718,776397,335605,514332,126007
2018,Waldo Cty,136058,1233682,39618,580119,661976,193648,421805,124318
2018,Washington Cty,115853,10824824,50849,6803972,5494741,2018999,3667313,989680
2018,York Cty,837748,4626828,51540,2799175,3261788,597410,2425318,582427
2019,Androscoggin Cty,254043,2862430,48251,1519161,1699799,388661,1155658,330350
2019,Aroostook Cty,213791,19054332,60214,12088620,15267992,4074898,11276915,2449827
2019,Cumberland Cty,213791,1214598,41898,648529,660063,216246,447376,122165
2019,Franklin Cty,90522,2865955,44855,1519366,1622772,721656,1015066,253787
2019,Hancock Cty,353919,5705851,53464,3429568,4195307,870109,3009352,810285
2019,Kennebec Cty,375670,2056638,45753,1058915,1265585,527369,809738,202337
2019,Lincoln Cty,157145,1790472,39656,884737,745376,482646,470716,117515
2019,Oxford Cty,150466,2257234,43062,1202093,1074495,362473,735102,188927
2019,Penobscot Cty,284638,6541039,49594,3835203,4585549,982613,3410331,890580
2019,Piscataquis Cty,50451,664203,43615,319773,342381,116703,223256,68674
2019,Sagadahoc Cty,96543,1888774,54025,1068892,1193678,429754,863099,234036
2019,Somerset Cty,153025,1983171,47141,1031017,1059724,282355,719819,186880
2019,Waldo Cty,142566,1753846,42597,939326,807593,351730,531197,133830
2019,Washington Cty,119712,1276889,41609,600881,683552,199832,435073,128767
2019,York Cty,858954,11313200,52963,7128421,5753310,2048989,3851360,1042996
2020,Androscoggin Cty,267348,5031902,55512,2863273,3380549,590966,2511836,601365
2020,Aroostook Cty,264003,3180204,53254,1603928,1794286,383790,1189199,341084
2020,Cumberland Cty,264003,20342088,65956,12453242,15811752,4016390,11684727,2511792
2020,Franklin Cty,89207,1297660,43878,640204,640222,213756,430416,120599
2020,Hancock Cty,341985,3051466,47522,1519524,1622592,719044,1023401,257206
2020,Kennebec Cty,386766,6205407,57442,3540401,4364728,859741,3135658,842304
2020,Knox Cty,245377,2171875,48404,1052249,1261450,522419,812496,203577
2020,Lincoln Cty,149722,1888272,41806,881263,740768,478375,472578,118468
2020,Oxford Cty,156309,2460549,46039,1217345,1089462,360065,739233,193920
2020,Penobscot Cty,316261,7175587,53890,3964482,4754340,974332,3524378,913701
2020,Piscataquis Cty,48601,722784,46182,326918,350798,113341,236301,65896
2020,Sagadahoc Cty,102336,2017185,56754,1093362,1195229,421852,855253,237640
2020,Somerset Cty,154445,2184090,50955,1062208,1093492,279919,742930,196117
2020,Waldo Cty,141027,1896137,45434,952785,817804,351290,541187,135590
2020,Washington Cty,140699,1433835,45874,641912,733434,200113,456741,135994
2020,York Cty,847743,12133754,56894,7301507,5858157,2035357,3932467,1077947
2021,Androscoggin Cty,290239,5525754,57993,3133896,3632220,666942,2718613,623368
2021,Aroostook Cty,237698,3335138,53564,1639134,1837315,406757,1251773,347844
2021,Cumberland Cty,1805428,22578454,69129,13804207,17436092,4734563,12950845,2679819
2021,Franklin Cty,105033,1401417,46035,706281,707419,210582,476124,126262
2021,Hancock Cty,360030,3377409,49956,1674926,1802909,812501,1168030,274849
2021,Kennebec Cty,425482,6679699,59879,3820071,4708313,920975,3402157,880674
2021,Knox Cty,276514,2441206,50869,1158793,1381904,628822,893187,212203
2021,Lincoln Cty,176449,2135811,44651,1002118,852788,551909,546897,129442
2021,Oxford Cty,161113,2657772,45995,1313183,1163571,379516,801114,201344
2021,Penobscot Cty,363439,7711591,55703,4313569,5110672,1023688,3787269,959964
2021,Piscataquis Cty,93246,840869,52706,405605,441040,122962,271565,76229
2021,Sagadahoc Cty,124321,2218449,59951,1217539,1385119,460107,991867,268931
2021,Somerset Cty,168584,2370723,52229,1149877,1188375,295016,813063,206728
2021,Waldo Cty,163677,2065707,46786,1038125,892443,378630,585324,143442
2021,Washington Cty,129239,1533655,45907,655620,748876,224182,481142,138495
2021,York Cty,958303,13380772,58819,8160103,6481602,2238055,4378513,1144786
2020,Sagadahoc Cty,102336,2017185,56754,1093362,1195229,421852,855253,237640
2020,Somerset Cty,154445,2184090,50955,1062208,1093492,279919,742930,196117
2020,Waldo Cty,141027,1896137,45434,952785,817804,351290,541187,135590
2019,Lincoln Cty,157145,1790472,39656,884737,745376,482646,470716,117515
2019,Oxford Cty,150466,2257234,43062,1202093,1074495,362473,735102,188927
2019,Penobscot Cty,284638,6541039,49594,3835203,4585549,982613,3410331,890580
2019,Piscataquis Cty,50451,664203,43615,319773,342381,116703,223256,68674
2019,Sagadahoc Cty,96543,1888774,54025,1068892,1193678,429754,863099,234036
